Frame,Sequential,Parallel,Distributive
0,10,0,0
1,20,0,0
2,30,0,0
3,40,0,0
4,50,0,0
5,60,0,0
6,70,0,0
7,80,0,0
8,90,0,0
9,100,0,0
10,110,0,0
11,120,0,0
12,130,0,0
13,140,0,0
14,150,0,0
15,160,0,0
16,170,0,0
17,180,0,0
18,190,0,0
19,200,0,0
20,210,0,0
21,220,0,0
22,230,0,0
23,240,0,0
24,250,0,0
25,260,0,0
26,270,0,0
27,280,0,0
28,290,0,0
29,300,0,0
30,310,0,0
31,320,0,0
32,330,0,0
33,340,0,0
34,350,0,0
35,360,0,0
36,370,0,0
37,380,0,0
38,390,0,0
39,400,0,0
40,410,0,0
41,420,0,0
42,430,0,0
43,440,0,0
44,450,0,0
45,460,0,0
46,470,0,0
47,480,0,0
48,490,0,0
49,500,0,0
50,510,0,0
51,520,0,0
52,530,0,0
53,540,0,0
54,550,0,0
55,560,0,0
56,570,0,0
57,580,0,0
58,590,0,0
59,600,0,0
60,610,0,0
61,620,0,0
62,630,0,0
63,640,0,0
64,650,0,0
65,660,0,0
66,670,0,0
67,680,0,0
68,690,0,0
69,700,0,0
70,710,0,0
71,720,0,0
72,730,0,0
73,740,0,0
74,750,0,0
75,760,0,0
76,770,0,0
77,780,0,0
78,790,0,0
79,790,0,0
80,790,0,0
81,790,0,0
82,790,0,0
83,790,0,0
84,790,0,0
85,790,0,0
86,790,0,0
87,790,0,0
88,790,0,0
89,790,0,0
90,790,0,0
91,790,0,0
92,790,0,0
93,790,0,0
94,790,0,0
95,790,0,0
96,790,0,0
97,790,0,0
98,790,0,0
99,790,0,0
100,790,0,0
101,790,0,0
102,790,0,0
103,790,0,0
104,790,0,0
105,790,0,0
106,790,0,0
107,790,0,0
108,790,0,0
109,790,0,0
110,790,0,0
111,790,0,0
112,790,0,0
113,790,0,0
114,790,0,0
115,790,0,0
116,790,0,0
117,790,0,0
118,790,0,0
119,790,0,0
120,790,0,0
121,790,0,0
122,790,0,0
123,790,0,0
124,790,0,0
125,790,0,0
126,790,0,0
127,790,0,0
128,790,0,0
129,790,0,0
130,790,0,0
131,790,0,0
132,790,0,0
133,790,0,0
134,790,0,0
135,790,0,0
136,790,0,0
137,790,0,0
138,790,0,0
139,790,0,0
140,790,0,0
141,790,0,0
142,790,0,0
143,790,0,0
144,790,0,0
145,790,0,0
146,790,0,0
147,790,0,0
148,790,0,0
149,790,0,0
150,790,0,0
151,790,0,0
152,790,0,0
153,790,0,0
154,790,0,0
155,790,0,0
156,790,0,0
157,790,0,0
158,790,0,0
159,790,0,0
160,790,0,0
161,790,0,0
162,790,0,0
163,790,0,0
164,790,0,0
165,790,0,0
166,790,0,0
167,790,0,0
168,790,0,0
169,790,0,0
170,790,0,0
171,790,0,0
172,790,0,0
173,790,0,0
174,790,0,0
175,790,0,0
176,790,0,0
177,790,0,0
178,790,0,0
179,790,0,0
180,790,0,0
181,790,0,0
182,790,0,0
183,790,0,0
184,790,0,0
185,790,0,0
186,790,0,0
187,790,0,0
188,790,0,0
189,790,0,0
190,790,0,0
191,790,0,0
192,790,0,0
193,790,0,0
194,790,0,0
195,790,0,0
196,790,0,0
197,790,0,0
198,790,0,0
199,790,0,0
200,790,0,0
201,790,0,0
202,790,0,0
203,790,0,0
204,790,0,0
205,790,0,0
206,790,0,0
207,790,0,0
208,790,0,0
209,790,0,0
210,790,0,0
211,790,0,0
212,790,0,0
213,790,0,0
214,790,0,0
215,790,0,0
216,790,0,0
217,790,0,0
218,790,0,0
219,790,0,0
220,790,0,0
221,790,0,0
222,790,0,0
223,790,0,0
224,790,0,0
225,790,0,0
226,790,0,0
227,790,0,0
228,790,0,0
229,790,0,0
230,790,0,0
231,790,0,0
232,790,0,0
233,790,0,0
